ID,Points
1,90.8995947457
2,82.6222625212
3,88.7717668491
4,87.3372576274
5,81.2913102895
6,87.1204401412
7,87.217248505
8,88.5252551554
9,89.6244616439
10,91.0213064084
11,90.6270535125
12,91.8917627121
13,88.9250324332
14,93.3386294868
15,90.290388173
16,90.0213602941
17,90.7624486917
18,87.7681974251
19,92.0521632939
20,89.8534468522
21,79.4258627374
22,91.6491887599
23,86.4891607175
24,87.5511857038
25,89.260118004
26,89.1781871027
27,84.2147115694
28,86.0666603336
29,89.9639133075
30,85.3807362227
31,94.4501446152
32,89.45846223
33,89.1236708213
34,85.9278761723
35,84.3992677092
36,90.6201668027
37,84.5945012213
38,85.4738685455
39,87.9948010656
40,91.6094248013
41,85.5374423013
42,88.3747834308
43,88.8898817939
44,84.3385441693
45,90.4332784826
46,88.5734756256
47,89.7965958163
48,86.3951821946
49,86.2768474884
50,85.7662226776
51,90.329767841
52,87.4420847777
53,83.1685152045
54,91.5780032194
55,88.6682092253
56,90.7344669561
57,83.2525551016
58,85.5535826507
59,84.6822142394
60,88.2020463136
61,88.6290545296
62,87.3446690717
63,87.8904585241
64,86.6578672574
65,86.2017050894
66,94.0209696975
67,90.3041546366
68,91.4861636552
69,79.4077426982
70,88.339755425
71,94.7857499647
72,90.1894516472
73,90.1905879494
74,84.1933613806
75,88.9240077218
76,85.0593927432
77,89.5865905831
78,88.1722755319
79,88.8950928211
80,85.8890366763
81,89.9199220256
82,88.7140572927
83,84.8145972561
84,86.7013579494
85,86.2365024958
86,88.0870192149
87,87.0421885897
88,85.5240774573
89,90.103772793
90,90.7413270742
91,83.5451965944
92,89.5446210439
93,86.4680303996
94,84.2096496675
95,83.1074789448
96,87.0439600994
97,86.7125122235
98,88.5271384293
99,87.2923458681
100,89.3713464079
101,87.3237252309
102,89.7615120412
103,88.4246190269
104,84.8405956283
105,90.2340504862
106,87.9375253002
107,87.9821655868
108,87.7064750949
109,86.1308172723
110,87.4412034153
111,86.8706769186
112,86.7750968876
113,90.0348476752
114,81.8546956573
115,89.1072117129
116,91.8107029674
117,84.5220505212
118,89.6526674856
119,85.8374746849
120,90.864518294
121,91.5907649996
122,81.4540096277
123,91.3979959222
124,80.5306626336
125,85.4468672512
126,89.4631804633
127,88.0876733088
128,86.4708337401
129,86.6329652721
130,89.5359501928
131,90.4422995007
132,90.7589339694
133,85.8270968577
134,89.282402542
135,90.1879525383
136,86.272741563
137,91.0303125063
138,90.3828133423
139,88.3156561665
140,93.7484668469
141,88.6971312925
142,88.7585469006
143,89.0615965219
144,83.2436595495
145,85.8098174154
146,83.7097798935
147,88.054325589
148,85.3061825312
149,88.5382363583
150,87.0456146098
151,88.8478304922
152,86.5507672692
153,81.6919176752
154,88.0769968691
155,90.1500517261
156,91.2916807292
157,87.3625894024
158,91.3055406703
159,88.7569765942
160,88.7293516758
161,87.3126046389
162,88.8379294934
163,84.4754268532
164,89.6897017959
165,88.9466697592
166,86.9595690198
167,94.0915945383
168,89.9639188505
169,86.2179919195
170,82.5623429332
171,85.5464249773
172,86.3476439498
173,87.6993010331
174,86.4237824447
175,90.882287667
176,87.1981668984
177,85.4533439029
178,89.0521463148
179,91.8590463987
180,87.0451075925
181,89.5931471682
182,89.5565258279
183,91.3316717409
184,88.0367792043
185,90.9121137487
186,89.124028847
187,87.9605623494
188,84.2657731809
189,88.4081290736
190,88.630424316
191,91.0012321018
192,88.5600076327
193,90.2953392176
194,90.5198240302
195,84.786898633
196,87.7718512613
197,88.3154184944
198,85.4853763544
199,86.5905025617
200,92.4100068643
201,87.4811961555
202,84.1819136173
203,88.3494214
204,91.7334021122
205,88.3410814873
206,87.1914688134
207,85.6555060477
208,86.1154213544
209,90.3751774246
210,89.6920595404
211,92.8680189792
212,84.5145631946
213,85.7382305512
214,88.7710866193
215,91.1006699047
216,88.31662901
217,88.5006200795
218,83.1272935154
219,86.3928266122
220,88.693481651
221,88.7731997105
222,88.4541536299
223,90.7154398829
224,90.8018949682
225,84.3933092165
226,86.528229934
227,86.3237881086
228,88.9996326183
229,87.1461983777
230,84.2230874849
231,89.2309136926
232,91.5878711344
233,83.7755368649
234,89.7738882351
235,84.3594300977
236,92.8008647692
237,82.7632624877
238,89.0991082637
239,89.2834039466
240,92.3141947496
241,89.106040065
242,84.8413378339
243,87.0096457175
244,85.3946048745
245,88.9846835936
246,85.5544882038
247,88.3477146962
248,88.0239087707
249,87.3972975916
250,85.6947115471
251,87.85486353
252,88.9638190314
253,85.0033821803
254,84.6901381673
255,86.4643706965
256,82.498614403
257,87.5854321495
258,86.5187844932
259,85.518964395
260,86.665882205
261,84.5108533194
262,88.6121140362
263,87.9104223382
264,84.8530411062
265,87.438614443
266,85.6770123661
267,79.575836858
268,84.8050835155
269,87.5011802563
270,88.021777367
271,83.6596462838
272,83.8370661069
273,84.9378065672
274,84.7785610905
275,88.8770766164
276,91.1739126841
277,92.8406998636
278,92.7213742433
279,85.0164845707
280,84.660965932
281,87.7989695596
282,83.3945883828
283,82.9158822916
284,81.3149786113
285,86.9684200376
286,83.1876642867
287,89.9501043922
288,85.1083488661
289,86.7979759616
290,92.2904517319
291,89.9266533572
292,91.803634112
293,87.1298583158
294,86.1596192302
295,81.924677506
296,85.3790287146
297,85.7798379945
298,88.8281969821
299,92.2425994567
300,84.0525690686
301,88.2641439716
302,90.9200780983
303,88.6347955009
304,90.4710174002
305,81.9058803349
306,86.0821530739
307,90.5401682886
308,85.4450429419
309,95.8498827767
310,84.6715831309
311,91.200862927
312,88.0552297494
313,87.1912365796
314,87.9651650678
315,95.536896618
316,91.6096831936
317,85.3591561594
318,84.6219980258
319,88.1633004281
